run_accession	sample_id	type	country	project_accession	sample_accession	Center Name	study_accession
ERR1869526	D4	Bean paste	Korean	PRJEB19846	SAMEA103891070	KOREA FOOD RESEARCH INSTITUTE	ERP021911
ERR1869527	D9	Bean paste	Korean	PRJEB19846	SAMEA103891071	KOREA FOOD RESEARCH INSTITUTE	ERP021911
ERR1869528	D13	Bean paste	Korean	PRJEB19846	SAMEA103891072	KOREA FOOD RESEARCH INSTITUTE	ERP021911
ERR1869529	D15	Bean paste	Korean	PRJEB19846	SAMEA103891073	KOREA FOOD RESEARCH INSTITUTE	ERP021911
ERR1869530	D16	Bean paste	Korean	PRJEB19846	SAMEA103891074	KOREA FOOD RESEARCH INSTITUTE	ERP021911
ERR2298550	K1-2	Kimchi	Korean	PRJEB23957	SAMEA104430799	KYUNG HEE UNIV.	ERP105740
ERR2298551	K1-3	Kimchi	Korean	PRJEB23957	SAMEA104430800	KYUNG HEE UNIV.	ERP105740
ERR2298552	K2-1	Kimchi	Korean	PRJEB23957	SAMEA104430801	KYUNG HEE UNIV.	ERP105740
ERR2298553	K2-2	Kimchi	Korean	PRJEB23957	SAMEA104430802	KYUNG HEE UNIV.	ERP105740
ERR2298554	K2-3	Kimchi	Korean	PRJEB23957	SAMEA104430803	KYUNG HEE UNIV.	ERP105740
ERR2298555	K3-1	Kimchi	Korean	PRJEB23957	SAMEA104430804	KYUNG HEE UNIV.	ERP105740
ERR2298556	K3-2	Kimchi	Korean	PRJEB23957	SAMEA104430805	KYUNG HEE UNIV.	ERP105740
ERR2298557	K3-3	Kimchi	Korean	PRJEB23957	SAMEA104430806	KYUNG HEE UNIV.	ERP105740
ERR2298558	K4-1	Kimchi	Korean	PRJEB23957	SAMEA104430807	KYUNG HEE UNIV.	ERP105740
ERR2298559	K4-2	Kimchi	Korean	PRJEB23957	SAMEA104430808	KYUNG HEE UNIV.	ERP105740
ERR2298560	K4-3	Kimchi	Korean	PRJEB23957	SAMEA104430809	KYUNG HEE UNIV.	ERP105740
ERR2298561	K5-1	Kimchi	Korean	PRJEB23957	SAMEA104430810	KYUNG HEE UNIV.	ERP105740
ERR2298562	K5-2	Kimchi	Korean	PRJEB23957	SAMEA104430811	KYUNG HEE UNIV.	ERP105740
ERR2298563	K5-3	Kimchi	Korean	PRJEB23957	SAMEA104430812	KYUNG HEE UNIV.	ERP105740
ERR2298564	K6-1	Kimchi	Korean	PRJEB23957	SAMEA104430813	KYUNG HEE UNIV.	ERP105740
ERR2298565	K6-2	Kimchi	Korean	PRJEB23957	SAMEA104430814	KYUNG HEE UNIV.	ERP105740
ERR2298566	K6-3	Kimchi	Korean	PRJEB23957	SAMEA104430815	KYUNG HEE UNIV.	ERP105740
ERR2298567	K7-1	Kimchi	Korean	PRJEB23957	SAMEA104430816	KYUNG HEE UNIV.	ERP105740
ERR2298568	K7-2	Kimchi	Korean	PRJEB23957	SAMEA104430817	KYUNG HEE UNIV.	ERP105740
ERR2298569	K7-3	Kimchi	Korean	PRJEB23957	SAMEA104430818	KYUNG HEE UNIV.	ERP105740
ERR2298570	K8-1	Kimchi	Korean	PRJEB23957	SAMEA104430819	KYUNG HEE UNIV.	ERP105740
ERR2298571	K8-2	Kimchi	Korean	PRJEB23957	SAMEA104430820	KYUNG HEE UNIV.	ERP105740
ERR2298572	K8-3	Kimchi	Korean	PRJEB23957	SAMEA104430821	KYUNG HEE UNIV.	ERP105740
ERR2298573	K9-1	Kimchi	Korean	PRJEB23957	SAMEA104430822	KYUNG HEE UNIV.	ERP105740
ERR2298574	K9-2	Kimchi	Korean	PRJEB23957	SAMEA104430823	KYUNG HEE UNIV.	ERP105740
ERR2298575	K9-3	Kimchi	Korean	PRJEB23957	SAMEA104430824	KYUNG HEE UNIV.	ERP105740
ERR2298576	K10-1	Kimchi	Korean	PRJEB23957	SAMEA104430825	KYUNG HEE UNIV.	ERP105740
ERR2298577	K10-2	Kimchi	Korean	PRJEB23957	SAMEA104430826	KYUNG HEE UNIV.	ERP105740
ERR2298578	K10-3	Kimchi	Korean	PRJEB23957	SAMEA104430827	KYUNG HEE UNIV.	ERP105740
ERR2298579	C1-1	Kimchi	China	PRJEB23957	SAMEA104430828	KYUNG HEE UNIV.	ERP105740
ERR2298580	C1-2	Kimchi	China	PRJEB23957	SAMEA104430829	KYUNG HEE UNIV.	ERP105740
ERR2298581	C1-3	Kimchi	China	PRJEB23957	SAMEA104430830	KYUNG HEE UNIV.	ERP105740
ERR2298582	C2-1	Kimchi	China	PRJEB23957	SAMEA104430831	KYUNG HEE UNIV.	ERP105740
ERR2298583	C2-2	Kimchi	China	PRJEB23957	SAMEA104430832	KYUNG HEE UNIV.	ERP105740
ERR2298584	C2-3	Kimchi	China	PRJEB23957	SAMEA104430833	KYUNG HEE UNIV.	ERP105740
ERR2298585	C3-1	Kimchi	China	PRJEB23957	SAMEA104430834	KYUNG HEE UNIV.	ERP105740
