genome,domain,phylum,class,order,family,genus,species,source,assembly,accession,sample,substrate,country,origin,assign,database
GCF_004359375.1_ASM435937v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Acetilactobacillus,Acetilactobacillus jinshanensis,NCBI,RefSeq,GCF_004359375.1,Type material of Acetilactobacillus jinshanensis,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK040-1-L-48h-03F2_S66__bin.3,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter aceti_B,Carlino et al. 2024,MAG,NA,water_kefir_figs_dried_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0007-002_Acetobacter_pasteurianus_subsp._ascendens_LMG_1591T,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter ascendens,Whon et al. 2021,complete,NA,vinegar,fruit,Netherlands,Netherlands,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0114-002_Acetobacter_cerevisiae_LMG_1625,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter cerevisiae,Whon et al. 2021,draft,NA,beer,grains,Belgium,Belgium,prokaryote,MiFoDB_gamma_v1_prok
WalshAM_2016__ERR1653130__bin.2,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter fabarum,Pasolli et al. 2020,MAG,NA,milk kefir 24 hours Day 2,dairy,France,France,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF14__bin.5,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter ghanensis,Carlino et al. 2024,MAG,NA,milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK027-1-L-48h-02I4_S14__bin.10,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter indonesiensis,Carlino et al. 2024,MAG,NA,water_kefir_figs_fresh_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeRoosJ_2020__B3M__bin.2,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter lambici,Carlino et al. 2024,MAG,NA,lambic_beer,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK030-2-L-48h-03A9_S28__bin.2,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter lovaniensis,Carlino et al. 2024,MAG,NA,water_kefir_figs_fresh_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK067-1-L-48h-05C1_S71__bin.5,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter malorum subsp. 1,Carlino et al. 2024,MAG,NA,water_kefir_figs_dried_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK022-1-L-48h-02F8_S113__bin.6,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter malorum subsp. 2,Carlino et al. 2024,MAG,NA,water_kefir_figs_fresh_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LandisEA_2021__SRS5652903__bin.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter malorum_A,Carlino et al. 2024,MAG,NA,sourdough_starter,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
