run_accession,project_accession,sample_accession,country,sample_id,study_accession
SRR10454481,PRJNA589612,SAMN13285053,USA,S_176,SRP230115
SRR10454482,PRJNA589612,SAMN13285042,USA,S_166,SRP230115
SRR10454483,PRJNA589612,SAMN13285035,USA,S_16,SRP230115
SRR10454484,PRJNA589612,SAMN13285031,Canada,S_156,SRP230115
SRR10454485,PRJNA589612,SAMN13285029,USA,S_154,SRP230115
SRR10454486,PRJNA589612,SAMN13285005,USA,S_130,SRP230115
SRR10454487,PRJNA589612,SAMN13285424,Canada,S_56,SRP230115
SRR10454488,PRJNA589612,SAMN13285413,USA,S_549,SRP230115
SRR10454489,PRJNA589612,SAMN13285407,USA,S_542,SRP230115
SRR10454490,PRJNA589612,SAMN13285388,USA,S_523,SRP230115
SRR10454491,PRJNA589612,SAMN13285386,New Zealand,S_521,SRP230115
SRR10454492,PRJNA589612,SAMN13285371,USA,S_507,SRP230115
SRR10454493,PRJNA589612,SAMN13285370,USA,S_506,SRP230115
SRR10454494,PRJNA589612,SAMN13285339,USA,S_475,SRP230115
SRR10454495,PRJNA589612,SAMN13285327,Canada,S_461,SRP230115
SRR10454496,PRJNA589612,SAMN13285313,USA,S_446,SRP230115
SRR10454497,PRJNA589612,SAMN13284996,USA,S_122,SRP230115
SRR10454498,PRJNA589612,SAMN13285309,USA,S_441,SRP230115
SRR10454499,PRJNA589612,SAMN13285291,USA,S_421,SRP230115
SRR10454500,PRJNA589612,SAMN13285258,USA,S_390,SRP230115
SRR10454501,PRJNA589612,SAMN13285256,USA,S_389,SRP230115
SRR10454502,PRJNA589612,SAMN13285252,USA,S_385,SRP230115
SRR10454503,PRJNA589612,SAMN13285240,USA,S_373,SRP230115
SRR10454504,PRJNA589612,SAMN13285219,USA,S_35,SRP230115
SRR10454505,PRJNA589612,SAMN13285208,USA,S_338,SRP230115
SRR10454506,PRJNA589612,SAMN13285207,USA,S_336,SRP230115
SRR10454507,PRJNA589612,SAMN13285204,USA,S_333,SRP230115
SRR10454508,PRJNA589612,SAMN13284995,USA,S_120,SRP230115
SRR10454509,PRJNA589612,SAMN13285200,USA,S_328,SRP230115
SRR10454510,PRJNA589612,SAMN13285197,USA,S_323,SRP230115
SRR10454511,PRJNA589612,SAMN13285195,USA,S_321,SRP230115
SRR10454512,PRJNA589612,SAMN13285180,USA,S_307,SRP230115
SRR10454513,PRJNA589612,SAMN13285126,USA,S_247,SRP230115
SRR10454514,PRJNA589612,SAMN13285122,USA,S_243,SRP230115
SRR10454515,PRJNA589612,SAMN13285118,USA,S_24,SRP230115
SRR10454516,PRJNA589612,SAMN13285116,USA,S_238,SRP230115
SRR10454517,PRJNA589612,SAMN13285078,USA,S_20,SRP230115
SRR10454518,PRJNA589612,SAMN13285076,USA,S_199,SRP230115
SRR10454519,PRJNA589612,SAMN13284992,USA,S_118,SRP230115
SRR10454520,PRJNA589612,SAMN13284973,USA,S_1,SRP230115
SRR29538178,PRJNA1095457,SAMN41895341,USA,G_199,SRP515890
SRR29538179,PRJNA1095457,SAMN41895340,USA,G_154,SRP515890
SRR29538180,PRJNA1095457,SAMN41895339,USA,G_125,SRP515890
SRR29538181,PRJNA1095457,SAMN41895338,Australia,G_364,SRP515890
SRR29538182,PRJNA1095457,SAMN41895337,USA,G_275,SRP515890
SRR29538183,PRJNA1095457,SAMN41895336,USA,G_13,SRP515890
SRR29538184,PRJNA1095457,SAMN41895335,Thailand,G_361,SRP515890
SRR29538185,PRJNA1095457,SAMN41895352,USA,G_97,SRP515890
SRR29538186,PRJNA1095457,SAMN41895334,USA,G_338,SRP515890
SRR29538187,PRJNA1095457,SAMN41895351,USA,G_65,SRP515890
SRR29538188,PRJNA1095457,SAMN41895350,Canada,G_517,SRP515890
SRR29538189,PRJNA1095457,SAMN41895349,USA,G_514,SRP515890
SRR29538190,PRJNA1095457,SAMN41895348,USA,G_507,SRP515890
SRR29538191,PRJNA1095457,SAMN41895347,USA,G_497,SRP515890
SRR29538192,PRJNA1095457,SAMN41895346,USA,G_490,SRP515890
SRR29538193,PRJNA1095457,SAMN41895345,USA,G_398,SRP515890
SRR29538194,PRJNA1095457,SAMN41895344,USA,G_35,SRP515890
SRR29538195,PRJNA1095457,SAMN41895343,Norway,G_272,SRP515890
SRR29538196,PRJNA1095457,SAMN41895342,USA,G_24,SRP515890
SRR29538197,PRJNA1095457,SAMN41895333,USA,G_275,SRP515890
SRR29538198,PRJNA1095457,SAMN41895332,USA,G_011,SRP515890
SRR10454486,PRJNA589612,SAMN13285005,USA,SRR10454486,SRP230115
SRR10454491,PRJNA589612,SAMN13285386,New Zealand,SRR10454491,SRP230115
SRR10454494,PRJNA589612,SAMN13285339,USA,SRR10454494,SRP230115
SRR10454509,PRJNA589612,SAMN13285200,USA,SRR10454509,	SRP230115
SRR10454511,PRJNA589612,SAMN13285195,USA,SRR10454511,SRP230115
SRR10454513,PRJNA589612,SAMN13285126,USA,SRR10454513,SRP230115
SRR10454516,PRJNA589612,SAMN13285116,USA,SRR10454516,SRP230115
SRR10454517,PRJNA589612,SAMN13285078,USA,SRR10454517,SRP230115
