Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Category,Center Name,Collection_Date,Consent,dataset_name,DATASTORE filetype,DATASTORE provider,DATASTORE region,dna_extraction_kit,Experiment,fermented/non-fermented,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,library_layout,Library Name,LibraryLayout,LibrarySelection,LibrarySource,max_read_len,mean_read_len,median_read_len,min_read_len,n_of_bases,n_of_reads,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sequencing_platform,SRA Study,subtype,Type
SRR28523061,WGS,283,15859498691,PRJNA1094419,SAMN40695711,Metagenome or environmental,5244580781,fermented_meat,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124182,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,SF013_71775,PAIRED,RANDOM,METAGENOMIC,151,"141,8659321",151,50,15859498691,111792158,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:37:00Z,1,SF013_71775,Illumina_NovaSeq_6000,SRP499185,salame_felino,salami
SRR28523062,WGS,284,19568809573,PRJNA1094419,SAMN40695710,Metagenome or environmental,6522138409,fermented_meat,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",QIAGEN_MASTERWP4_kit,SRX24124181,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,SF011_73417,PAIRED,RANDOM,METAGENOMIC,151,"142,4167304",151,50,19568809573,137405272,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:41:00Z,1,SF011_73417,Illumina_NovaSeq_6000,SRP499185,salame_felino,salami
SRR28523063,WGS,294,16287460018,PRJNA1094419,SAMN40695709,Metagenome or environmental,5479370597,fermented_meat,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124180,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,SF007_71775,PAIRED,RANDOM,METAGENOMIC,151,"147,4593581",151,50,16287460018,110453892,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:48:00Z,1,SF007_71775,Illumina_NovaSeq_6000,SRP499185,salame_felino,salami
SRR28523064,WGS,288,18727847358,PRJNA1094419,SAMN40695708,Metagenome or environmental,6155416766,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124179,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,PV005_71775,PAIRED,RANDOM,METAGENOMIC,151,"144,2844514",151,50,18727847358,129798098,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T10:00:00Z,1,PV005_71775,Illumina_NovaSeq_6000,SRP499185,provolone_valpadana,cheese
SRR28523065,WGS,291,15311523439,PRJNA1094419,SAMN40695707,Metagenome or environmental,5351643685,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",QIAGEN_MASTERWP4_kit,SRX24124178,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,CS005_71775,PAIRED,RANDOM,METAGENOMIC,151,"145,7801488",151,50,15311523439,105031608,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:47:00Z,1,CS005_71775,Illumina_NovaSeq_6000,SRP499185,caciocavallo_silano,cheese
SRR28523066,WGS,295,16759914716,PRJNA1094419,SAMN40695706,Metagenome or environmental,5660235035,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",QIAGEN_MASTERWP4_kit,SRX24124177,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,CS001_71775,PAIRED,RANDOM,METAGENOMIC,151,"147,8680122",151,50,16759914716,113343748,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:48:00Z,1,CS001_71775,Illumina_NovaSeq_6000,SRP499185,caciocavallo_silano,cheese
SRR28523067,WGS,297,8368485122,PRJNA1094419,SAMN40695490,Metagenome or environmental,2806757794,dairy,UNIVERSITY OF TRENTO,missing,public,DeFilippisF_xxxx,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",QIAGEN_MASTERWP4_kit,SRX24124176,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,DF_115,PAIRED,RANDOM,METAGENOMIC,150,"148,8221837",150,75,8368485122,55949972,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:29:00Z,1,DF_115,Illumina_NovaSeq_6000,SRP499185,provola_affumicata,cheese
SRR28523068,WGS,295,16110488074,PRJNA1094419,SAMN40695705,Metagenome or environmental,5360912829,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124175,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,CS007_71775,PAIRED,RANDOM,METAGENOMIC,151,"147,8686357",151,50,16110488074,108951354,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:38:00Z,1,CS007_71775,Illumina_NovaSeq_6000,SRP499185,caciocavallo_silano,cheese
SRR28523069,WGS,291,14381076867,PRJNA1094419,SAMN40695704,Metagenome or environmental,4824151876,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",QIAGEN_MASTERWP4_kit,SRX24124174,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,CM008_71775,PAIRED,RANDOM,METAGENOMIC,151,"145,9682969",151,50,14381076867,98521920,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:40:00Z,1,CM008_71775,Illumina_NovaSeq_6000,SRP499185,castelmagno,cheese
SRR28523070,WGS,283,12716711305,PRJNA1094419,SAMN40695703,Metagenome or environmental,4224209467,dairy,UNIVERSITY OF TRENTO,missing,public,MASTER_WP4_UNINA_1,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",QIAGEN_MASTERWP4_kit,SRX24124173,F,Italy,Europe,Italy,environmental,Illumina NovaSeq 6000,food,missing,PAIRED,FO005_71775,PAIRED,RANDOM,METAGENOMIC,151,"141,8209657",151,50,12716711305,89667358,food metagenome,ILLUMINA,2024-06-02T00:00:00Z,2024-04-02T09:50:00Z,1,FO005_71775,Illumina_NovaSeq_6000,SRP499185,fontina,cheese
