Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25399828,WGS,298,16529216054,PRJNA997821,SAMN36691388,Metagenome or environmental,5754358954,UNIVERSIDAD DE LEON,2020-02-06,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX21136379,Spain,Europe,Spain: Villaviciosa,food processing environment,Illumina NovaSeq 6000,Industry 22 - Non_food_contact - Processing,43.47 N 5.44 W,MASTER_WP4_CSIC_1__P245_73321,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T15:36:00Z,1,MASTER_WP4_CSIC_1__P245_73321,SRP451052
SRR25399829,WGS,295,7736172073,PRJNA997821,SAMN36691387,Metagenome or environmental,2658074904,UNIVERSIDAD DE LEON,2020-06-23,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX21136378,Spain,Europe,Spain: Villaviciosa,food processing environment,Illumina NovaSeq 6000,Industry 21 - Non_food_contact - Drying,43.47 N 5.44 W,MASTER_WP4_CSIC_2__P2446,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T16:15:00Z,1,MASTER_WP4_CSIC_2__P2446,SRP451052
SRR25399830,WGS,292,13532616648,PRJNA997821,SAMN36691386,Metagenome or environmental,4595060728,UNIVERSIDAD DE LEON,2020-06-23,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX21136377,Spain,Europe,Spain: Villaviciosa,food processing environment,Illumina NovaSeq 6000,Industry 21 - Non_food_contact - Packing,43.47 N 5.44 W,MASTER_WP4_CSIC_2__P2441,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T17:13:00Z,1,MASTER_WP4_CSIC_2__P2441,SRP451052
SRR25399831,WGS,297,11777397184,PRJNA997821,SAMN36691385,Metagenome or environmental,4437252232,UNIVERSIDAD DE LEON,2020-06-23,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX21136376,Spain,Europe,Spain: Villaviciosa,food processing environment,Illumina NovaSeq 6000,Industry 21 - Non_food_contact - Ripening D,43.47 N 5.44 W,MASTER_WP4_CSIC_3__P2438,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T17:37:00Z,1,MASTER_WP4_CSIC_3__P2438,SRP451052
SRR25399832,WGS,290,212601914,PRJNA997821,SAMN36691034,Metagenome or environmental,74651302,UNIVERSIDAD DE LEON,2019-12-16,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX21136375,Spain,Europe,Spain: Villaviciosa,food processing environment,Illumina NovaSeq 6000,Industry 10 - Food_contact - Processing - cheese vats,43.47 N 5.44 W,MASTER_WP4_CSIC_3__P213,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T15:03:00Z,1,MASTER_WP4_CSIC_3__P213,SRP451052
SRR25399833,WGS,296,18918145805,PRJNA997821,SAMN36691384,Metagenome or environmental,6937063023,UNIVERSIDAD DE LEON,2020-06-23,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21136374,Spain,Europe,Spain: Villaviciosa,food processing environment,Illumina NovaSeq 6000,Industry 21 - Non_food_contact - Ripening C,43.47 N 5.44 W,MASTER_WP4_CSIC_3__P2437,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T20:02:00Z,1,MASTER_WP4_CSIC_3__P2437,SRP451052
SRR25399834,WGS,300,10526112721,PRJNA997821,SAMN36691404,Metagenome or environmental,3715047928,UNIVERSIDAD DE LEON,2020-02-05,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX21136373,Spain,Europe,Spain: Villaviciosa,food processing environment,Illumina NovaSeq 6000,Industry 28 - Non_food_contact - Ripening,43.47 N 5.44 W,MASTER_WP4_CSIC_1__P293_73321,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T15:29:00Z,1,MASTER_WP4_CSIC_1__P293_73321,SRP451052
SRR25399835,WGS,294,4122797689,PRJNA997821,SAMN36691403,Metagenome or environmental,1426463160,UNIVERSIDAD DE LEON,2020-02-05,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX21136372,Spain,Europe,Spain: Villaviciosa,food processing environment,Illumina NovaSeq 6000,Industry 28 - Non_food_contact - Processing,43.47 N 5.44 W,MASTER_WP4_CSIC_1__P289_76492,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T15:08:00Z,1,MASTER_WP4_CSIC_1__P289_76492,SRP451052
SRR25399836,WGS,297,12257932941,PRJNA997821,SAMN36691383,Metagenome or environmental,4484453098,UNIVERSIDAD DE LEON,2020-06-23,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX21136371,Spain,Europe,Spain: Villaviciosa,food processing environment,Illumina NovaSeq 6000,Industry 21 - Non_food_contact - Ripening B,43.47 N 5.44 W,MASTER_WP4_CSIC_3__P2434,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T18:32:00Z,1,MASTER_WP4_CSIC_3__P2434,SRP451052
SRR25399837,WGS,298,4193578540,PRJNA997821,SAMN36691382,Metagenome or environmental,1435291267,UNIVERSIDAD DE LEON,2020-06-23,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX21136370,Spain,Europe,Spain: Villaviciosa,food processing environment,Illumina NovaSeq 6000,Industry 21 - Non_food_contact - Ripening A,43.47 N 5.44 W,MASTER_WP4_CSIC_2__P2433,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T16:07:00Z,1,MASTER_WP4_CSIC_2__P2433,SRP451052
