sample_id,run_accession,project_accession,sample_accession,country,study_accession,dataset_name
SRS1919172,SRR5172922,PRJNA358558,SAMN06175042,France,SRP096717,CrovadoreJ_2017
SRS1929208,SRR5188336,PRJNA360677,SAMN06214573,France,SRP097100,CrovadoreJ_2017
SRS1044731,SRR2182533; SRR2182534; SRR2182535,PRJNA291686,SAMN04009565,,SRP062833,PatroJN_2016
SRS1044732,SRR2182532; SRR2182557; SRR2182558,PRJNA291686,SAMN04009564,,SRP062833,PatroJN_2016
SRS1044735,SRR2182549; SRR2182550; SRR2182551,PRJNA291686,SAMN04009570,,SRP062833,PatroJN_2016
SRS1044736,SRR2182546; SRR2182547; SRR2182548,PRJNA291686,SAMN04009569,,SRP062833,PatroJN_2016
SRS1044737,SRR2182543; SRR2182544; SRR2182545,PRJNA291686,SAMN04009568,,SRP062833,PatroJN_2016
SRS1044738,SRR2182539; SRR2182540; SRR2182541,PRJNA291686,SAMN04009567,,SRP062833,PatroJN_2016
SRS1044739,SRR2182536; SRR2182537; SRR2182538,PRJNA291686,SAMN04009566,,SRP062833,PatroJN_2016
SRS1044740,SRR2182556; SRR2182555,PRJNA291686,SAMN04009563,,SRP062833,PatroJN_2016
