Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25395353,WGS,297,4066226154,PRJNA997801,SAMN36690409,Metagenome or environmental,1392550907,UNIVERSIDAD DE LEON,2020-06-17,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX21133433,Spain,Europe,Spain: Villaviciosa,cheese,Illumina NovaSeq 6000,Industry 17 - Final_product - core B,43.47 N 5.44 W,MASTER_WP4_CSIC_2__P2581,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T11:39:00Z,1,MASTER_WP4_CSIC_2__P2581,SRP450983
SRR25395354,WGS,297,3804636029,PRJNA997801,SAMN36690408,Metagenome or environmental,1291464398,UNIVERSIDAD DE LEON,2020-06-17,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX21133432,Spain,Europe,Spain: Villaviciosa,cheese,Illumina NovaSeq 6000,Industry 17 - Final_product - rind B,43.47 N 5.44 W,MASTER_WP4_CSIC_2__P2580,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T11:28:00Z,1,MASTER_WP4_CSIC_2__P2580,SRP450983
SRR25395355,WGS,295,2449797989,PRJNA997801,SAMN36690407,Metagenome or environmental,835037618,UNIVERSIDAD DE LEON,2020-06-17,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX21133431,Spain,Europe,Spain: Villaviciosa,cheese,Illumina NovaSeq 6000,Industry 17 - Final_product - core A,43.47 N 5.44 W,MASTER_WP4_CSIC_2__P2579,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T11:17:00Z,1,MASTER_WP4_CSIC_2__P2579,SRP450983
SRR25395356,WGS,295,7942038457,PRJNA997801,SAMN36690406,Metagenome or environmental,2697838224,UNIVERSIDAD DE LEON,2020-06-17,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX21133430,Spain,Europe,Spain: Villaviciosa,cheese,Illumina NovaSeq 6000,Industry 17 - Final_product - rind A,43.47 N 5.44 W,MASTER_WP4_CSIC_2__P2578,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T12:21:00Z,1,MASTER_WP4_CSIC_2__P2578,SRP450983
SRR25395358,WGS,298,7155249613,PRJNA997801,SAMN36690404,Metagenome or environmental,2499879264,UNIVERSIDAD DE LEON,2020-03-04,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX21133428,Spain,Europe,Spain: Villaviciosa,cheese,Illumina NovaSeq 6000,Industry 16 - Final_product - rind B,43.47 N 5.44 W,MASTER_WP4_CSIC_1__P2209_73323,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T11:16:00Z,1,MASTER_WP4_CSIC_1__P2209_73323,SRP450983
SRR25395359,WGS,299,8168307261,PRJNA997801,SAMN36690403,Metagenome or environmental,2820879587,UNIVERSIDAD DE LEON,2020-03-04,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21133427,Spain,Europe,Spain: Villaviciosa,cheese,Illumina NovaSeq 6000,Industry 16 - Final_product - core A,43.47 N 5.44 W,MASTER_WP4_CSIC_1__P2208_73323,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T11:19:00Z,1,MASTER_WP4_CSIC_1__P2208_73323,SRP450983
SRR25395360,WGS,300,9702881197,PRJNA997801,SAMN36689917,Metagenome or environmental,3347775841,UNIVERSIDAD DE LEON,2020-02-05,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX21133426,Spain,Europe,Spain: Villaviciosa,milk,Illumina NovaSeq 6000,Industry 28 - Raw_materials - Milk,43.47 N 5.44 W,MASTER_WP4_CSIC_1__P2221_73323,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T12:09:00Z,1,MASTER_WP4_CSIC_1__P2221_73323,SRP450983
SRR25395361,WGS,300,9019949825,PRJNA997801,SAMN36690402,Metagenome or environmental,3112079488,UNIVERSIDAD DE LEON,2020-03-04,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX21133425,Spain,Europe,Spain: Villaviciosa,cheese,Illumina NovaSeq 6000,Industry 16 - Final_product - rind A,43.47 N 5.44 W,MASTER_WP4_CSIC_1__P2207_73323,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T12:03:00Z,1,MASTER_WP4_CSIC_1__P2207_73323,SRP450983
SRR25395363,WGS,296,18347143749,PRJNA997801,SAMN36690400,Metagenome or environmental,6292151414,UNIVERSIDAD DE LEON,2020-06-18,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX21133423,Spain,Europe,Spain: Villaviciosa,cheese,Illumina NovaSeq 6000,Industry 15 - Final_product - rind B,43.47 N 5.44 W,MASTER_WP4_CSIC_2__P2570,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T13:48:00Z,1,MASTER_WP4_CSIC_2__P2570,SRP450983
SRR25395365,WGS,297,5626407377,PRJNA997801,SAMN36690398,Metagenome or environmental,1895278441,UNIVERSIDAD DE LEON,2020-06-18,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX21133421,Spain,Europe,Spain: Villaviciosa,cheese,Illumina NovaSeq 6000,Industry 15 - Final_product - rind A,43.47 N 5.44 W,MASTER_WP4_CSIC_2__P2568,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-04-30T00:00:00Z,2023-07-24T12:17:00Z,1,MASTER_WP4_CSIC_2__P2568,SRP450983
