Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,grain.base.bleached.wheat,grain.base.rye,grain.base.unbleached,grain.base.whole.wheat,host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample.identifier.original,Sample Name,Seasnlty,SRA Study,temp
SRR10450296,AMPLICON,302,6568802,PRJNA589612,SAMN13285472,Metagenome or environmental,4541389,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145169,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_99,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:40:00Z,1,99,S_99,8241,SRP230115,92
SRR10450297,AMPLICON,302,4949780,PRJNA589612,SAMN13285471,Metagenome or environmental,3459326,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145168,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_98,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:40:00Z,1,98,S_98,8698,SRP230115,120
SRR10450298,AMPLICON,302,2341104,PRJNA589612,SAMN13285470,Metagenome or environmental,1656920,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145167,USA,North America,USA,NA,NA,NA,NA,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_97,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:40:00Z,1,97,S_97,3785,SRP230115,171
SRR10450299,AMPLICON,302,6452834,PRJNA589612,SAMN13285469,Metagenome or environmental,4495104,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145166,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_96,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,96,S_96,8828,SRP230115,92
SRR10450300,AMPLICON,302,10191292,PRJNA589612,SAMN13285468,Metagenome or environmental,7091616,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145165,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_95,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,95,S_95,8559,SRP230115,91
SRR10450301,AMPLICON,302,7408966,PRJNA589612,SAMN13285467,Metagenome or environmental,5185378,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145164,USA,North America,USA,0,0,1,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_94,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,94,S_94,3424,SRP230115,148
SRR10450302,AMPLICON,302,8907490,PRJNA589612,SAMN13285466,Metagenome or environmental,6109115,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145163,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_93,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,93,S_93,6159,SRP230115,204
SRR10450303,AMPLICON,302,8080614,PRJNA589612,SAMN13285465,Metagenome or environmental,5552016,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145162,USA,North America,USA,0,0,1,1,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_92,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,92,S_92,2355,SRP230115,138
SRR10450304,AMPLICON,302,7012742,PRJNA589612,SAMN13285464,Metagenome or environmental,4892851,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145161,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_91,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,91,S_91,7123,SRP230115,122
SRR10450305,AMPLICON,302,9358376,PRJNA589612,SAMN13285463,Metagenome or environmental,6417151,UNIVERSITY OF COLORADO AT BOULDER,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7145160,USA,North America,USA,0,0,1,0,sourdough,Illumina MiSeq,kitchens,not applicable,16S_S_90,PAIRED,PCR,GENOMIC,food metagenome,ILLUMINA,2020-11-01T00:00:00Z,2019-11-15T13:41:00Z,1,90,S_90,9601,SRP230115,88
