Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	env_broad_scale	env_local_scale	env_medium	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	isol_growth_condt	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	num_replicons	Organism	Platform	ref_biomaterial	ReleaseDate	create_date	version	Sample Name	SRA Study	strain	Cheese	batch	Depth	elev	week
SRR19240301; SRR19240302	WGS	6350; 300	76630626; 820718700	PRJNA837789	SAMN28230942	MIGS.ba	67972364; 391048120	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	fastq,sra; sra,fastq,run.zq	ncbi,gs,s3; ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.us-east1; ncbi.public,gs.us-east1,s3.us-east-1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15301084; SRX15301083	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS169 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS169_MinION; CCS169_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Psychrobacter sp. CCS169	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-17T08:03:00Z	1	CCS169	SRP375596	CCS169	cheese_B				
SRR19240304; SRR19240305	WGS	6852; 300	169732241; 896587500	PRJNA838106	SAMN28404985	MIGS.ba	154338594; 444876504	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	sra,fastq; run.zq,fastq,sra	ncbi,gs,s3; s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.us-east1; ncbi.public,gs.us-east1,s3.us-east-1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15301087; SRX15301086	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS183 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS183_MinION; CCS183_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Brachybacterium sp. CCS183	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-17T08:07:00Z; 2022-05-17T08:04:00Z	1	CCS183	SRP375598	CCS183	cheese_B				
SRR19236863; SRR19236864	WGS	8410; 300	435143545; 846789000	PRJNA838091	SAMN28404911	MIGS.ba	377507949; 419527532	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	sra,fastq; sra,run.zq,fastq	ncbi,s3,gs; gs,ncbi,s3	s3.us-east-1,gs.us-east1,ncbi.public; ncbi.public,gs.us-east1,s3.us-east-1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15297645; SRX15297644	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS174 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS174_MinION; CCS174_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Brevibacterium aurantiacum	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-16T18:28:00Z; 2022-05-16T18:23:00Z	1	CCS174	SRP375504	CCS174	cheese_B				
SRR19236806	WGS	300	993764400	PRJNA838095	SAMN28404915	MIGS.ba	450318221	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	fastq,run.zq,sra	ncbi,s3,gs	s3.us-east-1,gs.us-east1,ncbi.public	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15297587	USA	North America	USA	Illumina HiSeq 4000	CCS178 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS178_HiSeq4000	PAIRED	RANDOM	GENOMIC	n.a.	Staphylococcus carnosus	ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-16T18:22:00Z	1	CCS178	SRP375502	CCS178	cheese_B				
SRR19236869; SRR19236870	WGS	8852; 300	883564434; 1047163800	PRJNA837750	SAMN28230094	MIGS.ba	780487290; 518534252	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	sra,fastq; sra,fastq,run.zq	ncbi,s3,gs; s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.us-east1; ncbi.public,s3.us-east-1,gs.us-east1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15297651; SRX15297650	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS156 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS156_MinION; CCS156_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Brevibacterium aurantiacum	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-16T18:28:00Z; 2022-05-16T18:23:00Z	1	CCS156	SRP375506	CCS156	cheese_B				
SRR19236865	WGS	300	885285600	PRJNA838094	SAMN28404914	MIGS.ba	404201531	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	fastq,sra,run.zq	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15297646	USA	North America	USA	Illumina HiSeq 4000	CCS177 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS177_HiSeq4000	PAIRED	RANDOM	GENOMIC	n.a.	Staphylococcus xylosus	ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-16T18:23:00Z	1	CCS177	SRP375505	CCS177	cheese_B				
SRR19240297; SRR19240298	WGS	6231; 300	825058471; 895976700	PRJNA838262	SAMN28416482	MIGS.ba	721809360; 425596627	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	fastq,sra; run.zq,sra,fastq	ncbi,gs,s3; s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.us-east1; gs.us-east1,s3.us-east-1,ncbi.public	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15301080; SRX15301079	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS184 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS184_MinION; CCS184_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Psychrobacter sp. CCS184	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-17T08:05:00Z; 2022-05-17T08:03:00Z	1	CCS184	SRP375594	CCS184	cheese_B				
SRR19240247; SRR19240248	WGS	9500; 300	1906080156; 1065953700	PRJNA837754	SAMN28230173	MIGS.ba	1707103809; 511862703	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	fastq,sra; run.zq,fastq,sra	gs,ncbi,s3; s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.us-east1; gs.us-east1,s3.us-east-1,ncbi.public	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15301030; SRX15301029	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS158 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS158_MinION; CCS158_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Halomonas sp. CCS158	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-17T07:50:00Z; 2022-05-17T07:42:00Z	1	CCS158	SRP375591	CCS158	cheese_B				
SRR19237397; SRR19237398	WGS	13050; 300	194158638; 962111100	PRJNA837770	SAMN28230657	MIGS.ba	169592768; 479456251	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	sra,fastq; fastq,run.zq,sra	gs,ncbi,s3; ncbi,s3,gs	ncbi.public,gs.us-east1,s3.us-east-1	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15298179; SRX15298178	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS160 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS160_MinION; CCS160_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Microbacterium gubbeenense	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-16T18:46:00Z; 2022-05-16T18:43:00Z	1	CCS160	SRP375516	CCS160	cheese_B				
SRR19236881; SRR19236882	WGS	5601; 300	66742337; 812418300	PRJNA838100	SAMN28404984	MIGS.ba	59270012; 378102207	UNIVERSITY OF CALIFORNIA SAN DIEGO	2020-08-20	public	fastq,sra; fastq,sra,run.zq	gs,s3,ncbi; s3,gs,ncbi	s3.us-east-1,gs.us-east1,ncbi.public	anthropogenic environmental material[ENVO:0010001]	cheese product[ENVO:00002189]	cheese rind biofilm	SRX15297663; SRX15297662	USA	North America	USA	MinION; Illumina HiSeq 4000	CCS182 was isolated from the rind of a washed-rind cheese by plating on PCAMS (5 g/L tryptone\, 2.5 g/L yeast extract\, 1g/L dextrose\, 1 g/L whole milk powder\, 10 g/L sodium chloride and 15 g/L agar) containing 100 g/ml cycloheximide to select against th...	32.8801 N 117.2340 W	CCS182_MinION; CCS182_HiSeq4000	SINGLE; PAIRED	RANDOM	GENOMIC	n.a.	Psychrobacter cibarius	OXFORD_NANOPORE; ILLUMINA	n.a.	2022-11-01T00:00:00Z	2022-05-16T18:23:00Z	1	CCS182	SRP375508	CCS182	cheese_B				
