Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_name,scientific_name,SRA Study,Submitter_Id
ERR3340746,OTHER,302,1362309920,PRJEB32768,SAMEA5662701,577305590,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:38Z,ERX3365436,SAMEA5662701,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:38Z,public,NextSeq 500,CS_1,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T13:54:00Z,1,SAMEA5662701,CS_1,food fermentation metagenome,ERP115482,CS_1
ERR3340747,OTHER,302,1356040400,PRJEB32768,SAMEA5662702,565416570,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:38Z,ERX3365437,SAMEA5662702,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:38Z,public,NextSeq 500,CS_10,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T13:55:00Z,1,SAMEA5662702,CS_10,food fermentation metagenome,ERP115482,CS_10
ERR3340748,OTHER,302,1228298326,PRJEB32768,SAMEA5662703,512453265,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:38Z,ERX3365438,SAMEA5662703,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:38Z,public,NextSeq 500,CS_11,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T13:56:00Z,1,SAMEA5662703,CS_11,food fermentation metagenome,ERP115482,CS_11
ERR3340749,OTHER,302,1374999658,PRJEB32768,SAMEA5662704,571238263,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:38Z,ERX3365439,SAMEA5662704,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:38Z,public,NextSeq 500,CS_12,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T13:56:00Z,1,SAMEA5662704,CS_12,food fermentation metagenome,ERP115482,CS_12
ERR3340750,OTHER,302,938124646,PRJEB32768,SAMEA5662735,396762508,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:39Z,ERX3365440,SAMEA5662735,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:39Z,public,NextSeq 500,CS_13,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T13:57:00Z,1,SAMEA5662735,CS_13,food fermentation metagenome,ERP115482,CS_13
ERR3340751,OTHER,302,1286452050,PRJEB32768,SAMEA5662705,537721087,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:38Z,ERX3365441,SAMEA5662705,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:38Z,public,NextSeq 500,CS_14,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T13:58:00Z,1,SAMEA5662705,CS_14,food fermentation metagenome,ERP115482,CS_14
ERR3340752,OTHER,302,1200060118,PRJEB32768,SAMEA5662736,503570401,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:39Z,ERX3365442,SAMEA5662736,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:39Z,public,NextSeq 500,CS_15,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T13:59:00Z,1,SAMEA5662736,CS_15,food fermentation metagenome,ERP115482,CS_15
ERR3340753,OTHER,302,979876448,PRJEB32768,SAMEA5662706,417412612,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:38Z,ERX3365443,SAMEA5662706,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:38Z,public,NextSeq 500,CS_16,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T13:59:00Z,1,SAMEA5662706,CS_16,food fermentation metagenome,ERP115482,CS_16
ERR3340754,OTHER,302,1305008742,PRJEB32768,SAMEA5662707,553654581,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:38Z,ERX3365444,SAMEA5662707,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:38Z,public,NextSeq 500,CS_17,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T14:00:00Z,1,SAMEA5662707,CS_17,food fermentation metagenome,ERP115482,CS_17
ERR3340755,OTHER,302,1190733452,PRJEB32768,SAMEA5662708,499876958,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:38Z,ERX3365445,SAMEA5662708,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:38Z,public,NextSeq 500,CS_18,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T14:01:00Z,1,SAMEA5662708,CS_18,food fermentation metagenome,ERP115482,CS_18
ERR3340756,OTHER,302,819942382,PRJEB32768,SAMEA5662709,358709370,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:38Z,ERX3365446,SAMEA5662709,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:38Z,public,NextSeq 500,CS_19,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T14:03:00Z,1,SAMEA5662709,CS_19,food fermentation metagenome,ERP115482,CS_19
ERR3340757,OTHER,302,1674794152,PRJEB32768,SAMEA5662710,707720668,TEAGASC,cheese,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2019-11-27,2019-11-27T04:06:05Z,2019-05-27,2019-05-27T09:24:38Z,ERX3365447,SAMEA5662710,TEAGASC,2019-11-27T04:06:05Z,2019-05-27T09:24:38Z,public,NextSeq 500,CS_2,PAIRED,RANDOM,METAGENOMIC,food fermentation metagenome,ILLUMINA,2019-11-30T00:00:00Z,2019-11-30T14:03:00Z,1,SAMEA5662710,CS_2,food fermentation metagenome,ERP115482,CS_2
