mag_id,sample_description,fermented_food,specific_substrate,substrate_category,general_category,completeness,contamination,contigs,total_length,gc,n50,domain,phylum,class,order,family,genus,species,study_catalog,source,dataset_name,sample_id,split,macrocategory,category,type,subtype,country,sample_accession,run_accession,study_accession,project_accession,database_origin,Reference
AlvarezOrdonezA_xxxx__Q01-22__bin.5,cheese_brine,cheese,milk,dairy,fermented_dairy,98.94641782,0.87196468,281,2213152,35.62,10640,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus_halophilus,Carlino2024,AlvarezOrdonezA_xxxx__Q01-22,AlvarezOrdonezA_xxxx,Q01-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q01-22__bin.22,cheese_brine,cheese,milk,dairy,fermented_dairy,99.38650307,1.840490798,110,1906904,38.69,32752,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella_jogaejeotgali,Carlino2024,AlvarezOrdonezA_xxxx__Q01-22,AlvarezOrdonezA_xxxx,Q01-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q01-22__bin.8,cheese_brine,cheese,milk,dairy,fermented_dairy,79.00419539,3.868292202,510,2148922,47.15,4879,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina_SGB60414,Carlino2024,AlvarezOrdonezA_xxxx__Q01-22,AlvarezOrdonezA_xxxx,Q01-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q01-22__bin.14,cheese_brine,cheese,milk,dairy,fermented_dairy,53.44827586,0.0,292,974986,61.32,3775,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter_SGB99216,Carlino2024,AlvarezOrdonezA_xxxx__Q01-22,AlvarezOrdonezA_xxxx,Q01-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q01-22__bin.2,cheese_brine,cheese,milk,dairy,fermented_dairy,65.51724138,1.724137931,580,2925604,57.25,6149,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,GGB53187,GGB53187_SGB99137,Carlino2024,AlvarezOrdonezA_xxxx__Q01-22,AlvarezOrdonezA_xxxx,Q01-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q01-22__bin.18,cheese_brine,cheese,milk,dairy,fermented_dairy,50.67092894,0.316856781,396,1083366,44.52,2872,Bacteria,Bacteroidetes,CFGB57343,OFGB57343,FGB57343,GGB71406,GGB71406_SGB97795,Carlino2024,AlvarezOrdonezA_xxxx__Q01-22,AlvarezOrdonezA_xxxx,Q01-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q01-22__bin.24,cheese_brine,cheese,milk,dairy,fermented_dairy,93.26867816,4.202586207,415,3807777,53.19,15708,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter_SGB99144,Carlino2024,AlvarezOrdonezA_xxxx__Q01-22,AlvarezOrdonezA_xxxx,Q01-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q01-22__bin.12,cheese_brine,cheese,milk,dairy,fermented_dairy,81.03448276,3.448275862,488,3358166,56.23,9420,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas_salicampi,Carlino2024,AlvarezOrdonezA_xxxx__Q01-22,AlvarezOrdonezA_xxxx,Q01-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q01-22__bin.16,cheese_brine,cheese,milk,dairy,fermented_dairy,74.04724395,1.657302886,843,3169000,66.07,4342,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,Salinisphaera_SGB99232,Carlino2024,AlvarezOrdonezA_xxxx__Q01-22,AlvarezOrdonezA_xxxx,Q01-22,Carlino2024,,,,,,,,,,,
AlvarezOrdonezA_xxxx__Q01-22__bin.3,cheese_brine,cheese,milk,dairy,fermented_dairy,82.20862914,4.002088397,536,2379658,61.53,5231,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Halospina,Halospina_SGB99376,Carlino2024,AlvarezOrdonezA_xxxx__Q01-22,AlvarezOrdonezA_xxxx,Q01-22,Carlino2024,,,,,,,,,,,
