representative_95id,domain,phylum,class,order,family,genus,species
160,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium gubbeenense
175,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp900163785
178,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus carnosus
180,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter namhaensis
181,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp014861395
182,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter cibarius A
183,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Dermabacteraceae,Brachybacterium,
AlvarezOrdonezA_xxxx__C02-19__bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Ewingella,Ewingella americana
AlvarezOrdonezA_xxxx__C02-19__bin.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E lactis
AlvarezOrdonezA_xxxx__C05-18__bin.20,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Rothia,
AlvarezOrdonezA_xxxx__C05-18__bin.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus sp030462125
AlvarezOrdonezA_xxxx__C05-18__bin.6,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Dermatophilaceae,Dermacoccus,Dermacoccus nishinomiyaensis
AlvarezOrdonezA_xxxx__C06-19__bin.13,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Specibacter,
