genome,cluster,score
MAG_37.fa,1_1,98.56106814129699
WalshL_xxxx__H3_S87__bin.11.fa,2_0,78.97129824221828
WalshL_xxxx__H3_S87__bin.16.fa,3_0,51.68024204503229
EBC_088.16.fa,4_0,90.87205907157576
MASTER_WP4_UNINA_2__E-22__bin.7.fa,5_0,87.59147895702466
MASTER_WP4_UNINA_2__E-22__bin.3.fa,6_0,91.90129432980643
TomarS_2023__SRR15925267__bin.15.fa,7_1,102.31418127021048
MAG_12.fa,7_2,71.91631350061445
MAG_30.fa,7_3,27.732465353956794
EBC_088.5.fa,8_1,97.22924676790073
MAG_490.fa,9_0,90.37222764999919
MotaGutierrezJ_2021__SRR11602153__bin.4.fa,10_1,102.07906704133825
YuY_2022__SRR16950700__bin.5.fa,10_2,89.78000283420197
EBC_097.14.fa,10_3,100.11613800649612
MAG_592.fa,10_4,94.89205566419528
LeechJ_xxxx__AF09__bin.3.fa,10_5,73.16059419534346
LeechJ_xxxx__AF57__bin.6.fa,10_6,94.94314238154513
LeechJ_xxxx__AF83__bin.8.fa,10_7,94.60318767395503
LeechJ_xxxx__AF48__bin.8.fa,10_8,77.8322979578893
LeechJ_xxxx__AF47__bin.3.fa,10_9,82.74848148752756
LeechJ_xxxx__AF25__bin.1.fa,10_10,49.37748309072712
LeechJ_xxxx__AF52__bin.3.fa,10_11,52.3761005861941
AlvarezOrdonezA_xxxx__C07-19__bin.17.fa,11_1,75.44539124838293
ODFM-BA-A-0009-005_Bacillus_velezensis_YJ11-1-4.fa,11_2,101.4413899986386
AlvarezOrdonezA_xxxx__C07-18__bin.11.fa,11_3,72.68219300264664
SulaimanJ_2014__SRS398269__bin.3.fa,11_4,96.09870881838503
KharnaiorP_2023__SRR22859377__bin.14.fa,11_5,64.09911272407125
MAG_615.fa,11_6,63.064071818717416
LiZ_2019__SRS3379157__bin.1.fa,11_7,54.27611220206249
MS_bin.1.fa,11_8,100.42435069353517
MAG_314.fa,12_1,84.10191470008785
MAG_366.fa,12_2,28.079815505803513
MASTER_WP4_UNINA_2__P-22__bin.7.fa,13_0,60.09067457300352
MASTER_WP4_UNINA_2__C-22__bin.5.fa,14_1,99.88106239474928
MASTER_WP4_UNINA_2__R-35__bin.4.fa,14_2,66.0702291093395
MAG_309.fa,14_3,64.73273036475426
MAG_500.fa,15_1,100.82673479737984
LiZ_2018__SRS2920551__bin.1.fa,15_2,90.82977689324589
DuR_2020__DRS139335__bin.16.fa,15_3,79.4210122507417
LeechJ_xxxx__AF43__bin.10.fa,16_0,79.61940135125475
MASTER_WP4_CSIC_1__P2134_73322__bin.21.fa,17_1,97.78301243000118
MASTER_WP4_UNINA_2__T-22__bin.5.fa,17_2,89.83132139689383
MASTER_WP4_FFoQSI_1__RC17-032__bin.4.fa,17_3,93.30842321563803
AlvarezOrdonezA_xxxx__Q01-22__bin.18.fa,17_4,49.82573725278513
MASTER_WP4_FFoQSI_2__VB16-22__bin.19.fa,17_5,93.92284273543774
MAG_352.fa,18_0,97.76635738044524
CM_UNINA_FFOOD__FFOOD_281__bin.3.fa,19_1,61.90434255118971
MASTER_WP4_CSIC_1__P2242_73323__bin.17.fa,19_2,56.892094196975414
MASTER_WP4_TEAGASC_1__TGS14-22__bin.29.fa,20_0,74.95073112372269
YulandiA_2020__SRS6115053__bin.23.fa,21_0,97.99293450002362
YulandiA_2020__SRS6115052__bin.1.fa,22_0,65.42272025773816
MASTER_WP4_UNINA_1__PM012_71775__bin.13.fa,23_0,63.3986507321742
MASTER_WP4_UNINA_2__V-21__bin.37.fa,24_0,63.323055059819815
YouL_2022__SRR13308528__bin.16.fa,25_0,77.08826555998482
CM_UNINA_FFOOD__FFOOD_388__bin.4.fa,26_1,65.68807234017811
MASTER_WP4_UNINA_1__AS212_71775__bin.14.fa,26_2,51.64478437973267
MagliuloR_2024__SRR28235345__bin.12.fa,26_3,64.35943642133222
CM_UNINA_FFOOD__FFOOD_287__bin.7.fa,26_4,49.7681880270062
MASTER_WP4_UNINA_1__PM013_71775__bin.4.fa,26_5,95.18388823021925
CM_UNINA_FFOOD__FFOOD_418__bin.11.fa,26_6,55.83040548633047
MASTER_WP4_UNINA_1__MO013_71775__bin.1.fa,26_7,87.56810324637271
CM_UNINA_FFOOD__FFOOD_347__bin.3.fa,26_8,73.78903145248718
MASTER_WP4_UNINA_1__MZ011_71775__bin.5.fa,26_9,66.64232179619349
CM_UNINA_FFOOD__FFOOD_385__bin.9.fa,26_10,98.97097351207351
MASTER_WP4_UNINA_1__PA012_73417__bin.7.fa,26_11,57.5989621314138
DeFilippisF_xxxx__DF_41__bin.5.fa,26_12,58.423538174396384
MASTER_WP4_UNINA_1__PR003_71775__bin.5.fa,26_13,46.41119615414861
MASTER_WP4_UNINA_1__GR001_73417__bin.10.fa,26_14,50.186599728240786
CM_UNINA_FFOOD__FFOOD_309__bin.7.fa,26_15,85.89133170478702
MASTER_WP4_UNINA_1__PS007_71775__bin.2.fa,26_16,57.254814792622255
MASTER_WP4_UNINA_1__PM007_71775__bin.2.fa,27_0,83.40693830254986
GCF_007833675.1_ASM783367v1_genomic.fa,28_0,93.41755162992159
LeechJ_xxxx__AF43__bin.11.fa,29_0,82.2918920699707
LeechJ_xxxx__AF43__bin.3.fa,30_0,75.55721189868385
ZhaoCC_2020__SRS5803191__bin.31.fa,31_0,63.911466918830875
ZhaoCC_2020__SRS5803192__bin.31.fa,32_0,63.62246367976967
MAG_630.fa,33_1,101.15193918488093
We5_bin.circ.3.fa,34_1,102.33012162753022
We6_bin.circ.4.fa,34_2,102.31357958664383
We6_bin.full.13.fa,34_3,99.95465845084603
ODFM-BA-A-0127-001_Megasphaera_cerevisiae_NSB1.fa,35_0,92.00360390172744
ODFM-BA-A-0128-001_Pectinatus_frisingensis_MB139.fa,36_0,95.67977532234548
MAG_440.fa,37_1,95.64552962847732
MASTER_WP4_FFoQSI_1__VB-09-M7__bin.19.fa,37_2,83.96798401779512
MASTER_WP4_FFoQSI_1__VB-09-M7__bin.53.fa,38_0,94.07432533883944
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin.29.fa,39_1,97.73700209237722
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin.32.fa,40_0,52.766214220428395
EBC_089.4.fa,41_0,61.513275804543326
MASTER_WP4_FFoQSI_1__VB-05-BD__bin.46.fa,42_0,84.34348962900945
AlvarezOrdonezA_xxxx__F02-18__bin.7.fa,43_1,79.05184169205776
AlvarezOrdonezA_xxxx__F02-19__bin.8.fa,43_2,73.30636650005401
AlvarezOrdonezA_xxxx__R04-18__bin.10.fa,43_3,80.2334500057415
AlvarezOrdonezA_xxxx__R04-19__bin.9.fa,43_4,68.29151138274892
AlvarezOrdonezA_xxxx__F03-18__bin.8.fa,43_5,67.1869937077321
AlvarezOrdonezA_xxxx__F03-19__bin.4.fa,43_6,66.49211389764086
DeFilippisF_xxxx__DS_91__bin.14.fa,43_7,74.69166003873562
DeFilippisF_xxxx__DS_97__bin.10.fa,43_8,74.3303933951603
AlvarezOrdonezA_xxxx__C07-19__bin.13.fa,43_9,54.19516527732336
AlvarezOrdonezA_xxxx__Q08-25__bin.6.fa,44_1,69.71350991725451
WalshL_xxxx__U-2-12__bin.3.fa,44_2,100.04124549716533
MASTER_WP4_UNINA_2__M-26.1__bin.5.fa,44_3,100.35436692621455
MASTER_WP4_CSIC_1__P2224_73323__bin.6.fa,44_4,75.68584804479069
MagliuloR_2024__SRR28235390__bin.3.fa,44_5,57.19956277779022
MagliuloR_2024__SRR28235361__bin.5.fa,44_6,58.50956964047031
CM_UNINA_FFOOD__FFOOD_278__bin.9.fa,44_7,57.27911225004887
CM_UNINA_FFOOD__FFOOD_271__bin.2.fa,44_8,53.833871856390466
MagliuloR_2024__SRR28235359__bin.3.fa,44_9,102.21615068111544
MagliuloR_2024__SRR28235392__bin.5.fa,44_10,102.00277350452785
CM_UNINA_FFOOD__FFOOD_241__bin.3.fa,44_11,56.095869222786945
MASTER_WP4_UNINA_1__CF008_71775__bin.5.fa,44_12,84.1869321049407
CM_UNINA_FFOOD__FFOOD_347__bin.8.fa,44_13,64.67789839680239
MASTER_WP4_CSIC_2__P2543__bin.14.fa,44_14,52.44872388015971
MASTER_WP4_UNINA_1__MO005_73417__bin.2.fa,44_15,67.22437380640538
MASTER_WP4_UNINA_1__CS007_71775__bin.13.fa,44_16,52.48589708636203
DeFilippisF_xxxx__DF_102__bin.19.fa,44_17,49.25640941819776
CM_UNINA_FFOOD__FFOOD_289__bin.8.fa,45_1,55.282009368872956
Imad_A-2.bin.9.fa,45_2,79.47222587357909
YouL_2022__SRR13308540__bin.3.fa,45_3,52.70759429280417
MASTER_WP4_UNINA_2__M-29__bin.19.fa,45_4,52.25239523438666
YouL_2022__SRR13308521__bin.17.fa,45_5,74.2140442298325
MASTER_WP4_FFoQSI_2__VB11-26__bin.7.fa,45_6,100.15533563542839
MagliuloR_2024__SRR28235352__bin.14.fa,45_7,46.408879359143626
YouL_2022__SRR13308524__bin.37.fa,45_8,70.74359160336888
MASTER_WP4_CSIC_2__P2616__bin.5.fa,45_9,77.05520981426164
MASTER_WP4_CSIC_2__P2615__bin.19.fa,45_10,59.56211298999146
MASTER_WP4_FFoQSI_1__RC17-02__bin.16.fa,45_11,64.50970096591223
CM_UNINA_FFOOD__FFOOD_418__bin.9.fa,45_12,75.02888364640232
MASTER_WP4_CSIC_2__P2584__bin.1.fa,45_13,59.47693686375154
MASTER_WP4_CSIC_2__P2585__bin.9.fa,45_14,48.551313860495334
MASTER_WP4_CSIC_2__P2587__bin.1.fa,45_15,47.36732017043421
MASTER_WP4_CSIC_2__P2589__bin.5.fa,45_16,65.58453101990737
MASTER_WP4_UNINA_2__V-22__bin.9.fa,45_17,45.783071919918605
MASTER_WP4_UNINA_2__I-22__bin.6.fa,45_18,50.811950915865836
AlvarezOrdonezA_xxxx__Q06-28__bin.11.fa,45_19,100.2461350225584
DeFilippisF_xxxx__DF_88__bin.10.fa,45_20,45.796908592557465
FontanaF_2023__SRR20746915__bin.10.fa,45_21,88.18581846656473
MASTER_WP4_UNINA_2__T-22__bin.24.fa,45_22,70.55926749301051
MASTER_WP4_CSIC_1__P2232_73323__bin.4.fa,45_23,68.19420125091787
MASTER_WP4_UNINA_2__O-25.1__bin.26.fa,45_24,63.84049303553814
MASTER_WP4_FFoQSI_2__VB06-21__bin.1.fa,45_25,58.75314972185743
MASTER_WP4_FFoQSI_1__DC18-02__bin.11.fa,46_0,58.87382898033136
DeFilippisF_xxxx__DS_111__bin.11.fa,47_1,84.29921302874284
LopezSanchezR_2023__SRR13708567__bin.13.fa,48_0,65.52738465700773
ChaconVargasK_2020__SRS6087094__bin.10.fa,49_1,79.9301887667165
WalshL_xxxx__G2__bin.2.fa,50_1,77.4064348935036
MASTER_WP4_FFoQSI_2__VB06-21__bin.6.fa,50_2,90.72645967157335
MASTER_WP4_CSIC_2__P2574__bin.18.fa,50_3,90.78403758022543
MASTER_WP4_CSIC_2__P2525__bin.7.fa,50_4,79.6786059058625
EBC_080.11.fa,50_5,60.554393023454004
MASTER_WP4_TEAGASC_1__TGS04-23__bin.7.fa,50_6,55.04376645402043
MASTER_WP4_CSIC_1__P2232_73323__bin.6.fa,51_0,88.60467330056306
MASTER_WP4_FFoQSI_3__VB14-25__bin.11.fa,52_1,90.18211761619571
MAG_94.fa,52_2,79.65494812330122
MASTER_WP4_FFoQSI_2__VB15-25__bin.5.fa,52_3,85.12150822519104
LeechJ_xxxx__AF34__bin.5.fa,52_4,74.40683783192328
MASTER_WP4_FFoQSI_2__VB04-25__bin.1.fa,52_5,77.27347918662043
MASTER_WP4_FFoQSI_2__VB11-25__bin.11.fa,52_6,86.2926726716107
MASTER_WP4_FFoQSI_2__VB06-25__bin.2.fa,52_7,96.13375491833477
MASTER_WP4_FFoQSI_3__VB07-26__bin.3.fa,52_8,56.2885489610935
MAG_312.fa,52_9,101.90267526447406
BertuzziAS_2018__ERS2032091__bin.2.fa,52_10,68.62676098367244
MASTER_WP4_FFoQSI_2__VB15-28__bin.1.fa,52_11,66.85269112411979
MASTER_WP4_FFoQSI_2__VB16-22__bin.11.fa,52_12,74.67877041801974
MASTER_WP4_FFoQSI_2__VB15-22__bin.6.fa,52_13,75.35404210612893
EBC_082.8.fa,53_1,90.33652677178583
MASTER_WP4_UNINA_1__PM002_71775__bin.13.fa,53_2,94.69868224624676
MASTER_WP4_UNINA_1__MO002_71775__bin.1.fa,53_3,55.49401274409141
MAG_196.fa,54_0,100.57843990779922
MASTER_WP4_TEAGASC_1__TGS15-30__bin.21.fa,55_0,55.902216688030556
AlvarezOrdonezA_xxxx__C07-19__bin.8.fa,56_1,82.12422920989876
WolfeBE_2014__771_Tarentaise__bin.5.fa,57_1,57.988063367560414
Wy5_bin.lin.34.fa,57_2,97.21029454647817
MASTER_WP4_TEAGASC_1__TGS04-29__bin.14.fa,57_3,92.79573869306466
MAG_623.fa,57_4,63.087378472293814
MASTER_WP4_FFoQSI_1__VB-16-M15__bin.7.fa,57_5,93.58370288734248
MASTER_WP4_FFoQSI_3__VB07-30__bin.42.fa,57_6,92.45208443005022
MASTER_WP4_FFoQSI_2__VB01-30__bin.10.fa,57_7,88.9948363838863
MASTER_WP4_UNINA_1__PU010_71775__bin.35.fa,57_8,53.35195394440298
MASTER_WP4_UNINA_1__PU007_71775__bin.55.fa,58_1,84.27833374256741
WolfeBE_2014__626_Red_Hawk__bin.5.fa,58_2,87.07758228020553
181.fa,58_3,99.6006021525041
FalardeauJ_2023__SRR20811281__bin.8.fa,58_4,92.54804360064801
FalardeauJ_2023__SRR20811293__bin.3.fa,58_5,85.9008057384557
MAG_626.fa,58_6,92.0484722126463
FalardeauJ_2023__SRR20811221__bin.6.fa,58_7,87.0920877226169
MAG_7.fa,58_8,91.00226845928343
MAG_643.fa,58_9,94.4071453010509
DeFilippisF_xxxx__DS_97__bin.2.fa,58_10,70.83875418773107
FalardeauJ_2023__SRR20811290__bin.4.fa,58_11,52.76004959595786
MASTER_WP4_UNINA_1__GR002_73417__bin.7.fa,58_12,75.14565093751705
MASTER_WP4_CSIC_2__P2578__bin.9.fa,59_1,91.68047328162805
