mag_id	sample_description	fermented_food	specific_substrate	substrate_category	general_category	completeness	contamination	contigs	total_length	gc	n50	domain	phylum	class	order	family	genus	species	study_catalog	source	dataset_name	sample_id_x	split	run_accession	sample_id_y	country	project_accession	sample_accession	Center Name	study_accession
MAG_3	bean paste	kinema	soybean	legume	fermented_soybean	72.08	0.38	741	2584791	64.29	3891	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Glutamicibacter	unknown151	Du2023		MAG_3		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_8	bean paste	bean_paste	soybean	legume	fermented_soybean	100.0	0.0	19	3822185	37.82	389948	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus cibarius	Du2023		MAG_8		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_9	bean paste	bean_paste	soybean	legume	fermented_soybean	50.27	9.34	978	2575931	37.29	2665	Bacteria	Firmicutes	Bacilli	Lactobacillales	Brochotrichaceae	unknown4	unknown153	Du2023		MAG_9		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_11	bean paste	bean_paste	soybean	legume	fermented_soybean	50.77	7.76	679	1533426	36.46	2197	Bacteria	Firmicutes	Bacilli	Lactobacillales	Brochotrichaceae	Brochothrix	unknown157	Du2023		MAG_11		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_45	bean paste	bean_paste	soybean	legume	fermented_soybean	85.45	0.19	536	2560056	43.83	6140	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D casseliflavus	Du2023		MAG_45		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_53	bean paste	bean_paste	soybean	legume	fermented_soybean	78.89	6.81	1141	5053502	34.46	5211	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_C	Bacillus_U	Bacillus_U oleronius	Du2023		MAG_53		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_57	bean paste	bean_paste	soybean	legume	fermented_soybean	60.49	0.44	601	1715057	54.67	3000	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium stationis	Du2023		MAG_57		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_62	bean paste	bean_paste	soybean	legume	fermented_soybean	78.57	6.69	717	6936647	34.42	12873	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	unknown143	Du2023		MAG_62		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_63	bean paste	bean_paste	soybean	legume	fermented_soybean	83.56	2.2	668	2558475	43.57	4564	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D casseliflavus	Du2023		MAG_63		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
MAG_68	bean paste	bean_paste	soybean	legume	fermented_soybean	93.1	5.32	134	3059160	40.83	49081	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D gallinarum	Du2023		MAG_68		Du2023	['ERR1869526', 'ERR1869527', 'ERR1869528', 'ERR1869529', 'ERR1869530', 'SRR8830666', 'SRR8830667', 'SRR8830668', 'SRR8830669']	['D4', 'D9', 'D13', 'D15', 'D16', 'MA', 'JJ', 'SO', 'DJ']	['Korean', 'India']	['PRJEB19846', 'PRJNA529966']	['SAMEA103891070', 'SAMEA103891071', 'SAMEA103891072', 'SAMEA103891073', 'SAMEA103891074', 'SAMN11289617', 'SAMN11289618', 'SAMN11289615', 'SAMN11289616']	['KOREA FOOD RESEARCH INSTITUTE', 'CENTER OF INNOVATIVE AND APPLIED BIOPROCESSING (CIAB)']	['ERP021911', 'SRP190006']
