genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
ArikanM_2020__ERS1939655__bin.2.fa,1_1,0.050000000000000044,average,fastANI,1
MAG_37.fa,1_1,0.050000000000000044,average,fastANI,1
WalshL_xxxx__H3_S87__bin.11.fa,2_0,0.050000000000000044,average,fastANI,2
WalshL_xxxx__H3_S87__bin.16.fa,3_0,0.050000000000000044,average,fastANI,3
EBC_088.16.fa,4_0,0.050000000000000044,average,fastANI,4
MASTER_WP4_UNINA_2__E-22__bin.7.fa,5_0,0.050000000000000044,average,fastANI,5
MASTER_WP4_UNINA_2__E-22__bin.3.fa,6_0,0.050000000000000044,average,fastANI,6
KumarJ_2019__SRS4562500__bin.17.fa,7_1,0.050000000000000044,average,fastANI,7
KumarJ_2019__SRS4562502__bin.5.fa,7_1,0.050000000000000044,average,fastANI,7
LeechJ_xxxx__AF09__bin.10.fa,7_1,0.050000000000000044,average,fastANI,7
MAG_12.fa,7_1,0.050000000000000044,average,fastANI,7
MAG_139.fa,7_1,0.050000000000000044,average,fastANI,7
MAG_512.fa,7_1,0.050000000000000044,average,fastANI,7
MAG_584.fa,7_1,0.050000000000000044,average,fastANI,7
MotaGutierrezJ_2021__SRR11602145__bin.4.fa,7_1,0.050000000000000044,average,fastANI,7
MotaGutierrezJ_2021__SRR11602153__bin.15.fa,7_1,0.050000000000000044,average,fastANI,7
TomarS_2023__SRR15925267__bin.15.fa,7_1,0.050000000000000044,average,fastANI,7
MAG_30.fa,7_2,0.050000000000000044,average,fastANI,7
EBC_088.5.fa,8_1,0.050000000000000044,average,fastANI,8
LeechJ_xxxx__AF58__bin.4.fa,8_1,0.050000000000000044,average,fastANI,8
MAG_490.fa,9_0,0.050000000000000044,average,fastANI,9
EBC_097.14.fa,10_1,0.050000000000000044,average,fastANI,10
KumarJ_2019__SRS4562502__bin.4.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF06__bin.3.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF09__bin.3.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF10__bin.11.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF24__bin.9.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF25__bin.1.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF47__bin.3.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF48__bin.8.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF52__bin.3.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF56__bin.2.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF57__bin.6.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF58__bin.6.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF80__bin.3.fa,10_1,0.050000000000000044,average,fastANI,10
LeechJ_xxxx__AF83__bin.8.fa,10_1,0.050000000000000044,average,fastANI,10
MAG_592.fa,10_1,0.050000000000000044,average,fastANI,10
