genome,completeness,contamination
C-03.Ssa-BR,97.97,1.1
C-R02.bin.1,92.75,1.03
C-R03.bin.7,98.91,0.0
C-R06.bin.10,91.62,1.35
C-R06.bin.12,100.0,0.64
C-R06.bin.5,97.21,7.21
C-R06.bin.7,94.43,4.92
C-R07.bin.7,99.44,0.0
C-R09.bin.5,100.0,0.0
C-R13.bin.1,93.13,1.11
C-R13.bin.7,98.87,0.45
C-R14.bin.10,93.05,3.25
C-R14.bin.5,87.65,2.81
C-R14.bin.7,89.7,2.29
Imad_A-2.bin.9,89.43,2.18
Imad_L-18.bin.9,99.38,0.0
Imad_S-7-b.bin.11,84.59,1.16
Imad_S-8.bin.11,88.82,1.57
Imad_S-8.bin.4,80.89,0.07
MAG_S8,99.03,0.0
Nixt_bin.1,99.08,0.7
Nixt_bin.2,99.34,0.0
Vreta_bin.2,95.3,1.88
Peaso_bin.1,78.84,5.43
L1.2_bin.2,99.17,0.46
MS_bin.1,99.44,0.13
NP2.2_bin.7,97.24,1.24
NP3.2_bin.5,97.53,0.93
P.1_bin.1,98.9,0.71
PB_bin.2,99.73,1.31
S3.2_bin.2,99.34,0.0
GCF_003403295.1_ASM340329v1_genomic,100.0,0.0
GCF_013155425.1_ASM1315542v1_genomic,100.0,1.0
GCF_004102045.2_ASM410204v2_genomic,98.4,0.0
GCF_003967595.1_ASM396759v1_genomic,99.48,1.05
GCF_001580535.1_ASM158053v1_genomic,99.5,0.25
GCF_001702115.1_ASM170211v1_genomic,98.75,0.62
GCF_001702155.1_ASM170215v1_genomic,99.38,3.44
GCF_006539325.1_ASM653932v1_genomic,100.0,0.0
GCF_011516885.1_ASM1151688v1_genomic,100.0,0.0
GCF_015244675.1_ASM1524467v1_genomic,99.5,0.0
GCF_003207865.1_ASM320786v1_genomic,99.5,0.0
GCF_011067265.1_ASM1106726v1_genomic,99.67,0.28
GCF_004771075.1_ASM477107v1_genomic,99.08,0.0
GCF_009184845.1_ASM918484v1_genomic,99.48,1.05
GCA_001747045.1_ASM174704v1_genomic,94.41,0.0
GCF_000876205.1_ASM87620v1_genomic,99.46,0.82
GCF_001050115.1_ASM105011v1_genomic,99.04,0.0
GCF_001434055.1_ASM143405v1_genomic,99.38,0.0
GCF_900116935.1_Chromosome_genomic,99.48,1.83
GCF_900289205.1_Le_suionicum_CECT_8484_Spades_Prokka_genomic,100.0,0.53
GCF_000831645.3_ASM83164v3_genomic,99.48,1.05
GCF_001438845.1_ASM143884v1_genomic,99.02,2.47
GCF_003946045.1_ASM394604v1_genomic,99.38,0.0
GCF_003946095.1_ASM394609v1_genomic,99.38,0.21
GCF_003946145.1_ASM394614v1_genomic,99.38,0.21
GCF_003946165.1_ASM394616v1_genomic,99.48,1.31
GCF_003946335.1_ASM394633v1_genomic,99.06,0.71
GCF_003946345.1_ASM394634v1_genomic,99.38,0.62
GCF_003946385.1_ASM394638v1_genomic,99.46,0.82
GCF_003946395.1_ASM394639v1_genomic,99.06,0.0
GCF_003946445.1_ASM394644v1_genomic,99.18,1.49
GCF_003946485.1_ASM394648v1_genomic,99.48,0.52
GCF_003946545.1_ASM394654v1_genomic,99.38,0.0
GCF_001435995.1_ASM143599v1_genomic,97.45,1.25
GCF_011516735.1_ASM1151673v1_genomic,100.0,0.0
GCF_011516755.1_ASM1151675v1_genomic,99.65,0.25
GCF_000498955.2_NMG01_genomic,99.07,1.39
GCF_001435235.1_ASM143523v1_genomic,99.48,1.35
GCF_001436735.1_ASM143673v1_genomic,99.48,0.0
GCF_012396505.1_ASM1239650v1_genomic,99.46,0.14
GCF_918814575.1_ASM91881457v1_genomic,99.18,0.41
GCF_918814755.1_ASM91881475v1_genomic,98.91,0.68
GCF_007833675.1_ASM783367v1_genomic,97.93,1.38
GCF_001885995.1_ASM188599v1_genomic,99.01,0.0
GCF_019655995.1_ASM1965599v1_genomic,99.37,0.28
GCF_001434915.1_ASM143491v1_genomic,99.48,0.0
GCF_001434895.1_ASM143489v1_genomic,99.06,1.41
GCF_001436595.1_ASM143659v1_genomic,99.38,2.5
GCF_025211165.1_ASM2521116v1_genomic,99.18,0.0
GCF_000469325.1_ASM46932v1_genomic,99.48,1.05
GCF_003946085.1_ASM394608v1_genomic,99.38,0.0
GCF_005405405.1_ASM540540v1_genomic,99.02,0.62
GCF_005405425.1_ASM540542v1_genomic,99.02,2.06
GCF_007988905.1_ASM798890v1_genomic,99.5,0.0
GCF_029025825.1_ASM2902582v1_genomic,99.38,3.16
GCF_001039045.1_ASM103904v1_genomic,99.02,3.09
GCF_003573535.1_ASM357353v1_genomic,99.48,1.31
GCF_001436135.1_ASM143613v1_genomic,98.95,1.05
GCF_001436615.1_ASM143661v1_genomic,99.48,0.52
GCF_007115095.1_ASM711509v1_genomic,99.38,1.25
GCF_008632615.1_ASM863261v1_genomic,98.91,0.27
GCF_001436775.1_ASM143677v1_genomic,98.38,0.87
GCF_001437605.1_ASM143760v1_genomic,99.23,0.62
GCF_001435975.1_ASM143597v1_genomic,99.38,3.28
GCF_001047075.2_ASM104707v2_genomic,95.03,0.52
GCF_001047115.2_ASM104711v2_genomic,97.95,0.52
GCF_900187015.1_50465_F01_genomic,99.86,0.18
GCA_009932455.1_ASM993245v1_genomic,94.0,16.36
GCF_006007945.1_ASM600794v1_genomic,99.48,0.79
GCF_009913915.1_ASM991391v1_genomic,100.0,0.0
GCF_011516835.1_ASM1151683v1_genomic,99.65,0.5
GCF_004136575.1_ASM413657v1_genomic,99.67,0.0
GCF_002005485.1_ASM200548v1_genomic,98.51,1.0
GCF_002276885.1_ASM227688v1_genomic,98.94,0.64
GCA_003243815.1_ASM324381v1_genomic,99.79,0.0
GCF_000298875.1_ASM29887v1_genomic,99.44,0.19
GCF_001050475.1_ASM105047v1_genomic,99.48,0.0
GCF_001433995.1_ASM143399v1_genomic,99.06,0.94
GCF_001435445.1_ASM143544v1_genomic,99.48,2.09
GCF_001435525.1_ASM143552v1_genomic,99.38,0.62
GCF_001438805.1_ASM143880v1_genomic,99.48,1.57
GCF_001971585.1_ASM197158v1_genomic,99.48,0.0
GCF_002310475.1_ASM231047v1_genomic,97.99,0.6
GCF_003353445.1_ASM335344v1_genomic,99.08,0.0
GCF_003946265.1_ASM394626v1_genomic,99.38,0.62
GCF_007954525.1_ASM795452v1_genomic,99.48,1.05
GCF_007954605.1_ASM795460v1_genomic,99.44,0.56
GCF_008033155.1_ASM803315v1_genomic,98.7,0.31
GCF_013127755.1_ASM1312775v1_genomic,99.38,0.0
GCF_019656015.1_ASM1965601v1_genomic,99.44,0.11
GCF_019656055.1_ASM1965605v1_genomic,99.44,0.97
GCF_000817255.2_ASM81725v2_genomic,100.0,2.49
GCF_007991375.1_ASM799137v1_genomic,100.0,0.25
GCF_011611525.1_ASM1161152v1_genomic,100.0,0.0
GCF_015244665.1_ASM1524466v1_genomic,100.0,0.0
GCF_015244705.1_ASM1524470v1_genomic,100.0,1.0
GCF_018491655.1_ASM1849165v1_genomic,100.0,1.0
GCF_023091965.1_ASM2309196v1_genomic,99.14,0.86
GCF_008694105.1_ASM869410v1_genomic,99.21,1.05
GCF_900618535.1_TH39_genomic,100.0,0.18
GCA_008274985.1_ASM827498v1_genomic,100.0,0.0
GCF_001787355.1_ASM178735v1_genomic,99.63,1.0
GCF_001434935.1_ASM143493v1_genomic,99.48,0.52
GCF_001435395.1_ASM143539v1_genomic,99.48,0.52
GCF_003999355.1_ASM399935v1_genomic,99.03,0.97
GCF_001434135.1_ASM143413v1_genomic,99.25,0.21
GCF_001434145.1_ASM143414v1_genomic,99.06,0.0
GCF_002872255.1_ASM287225v1_genomic,99.48,1.11
GCF_003946115.1_ASM394611v1_genomic,99.02,1.31
GCF_003946175.1_ASM394617v1_genomic,99.48,0.52
GCF_003946205.1_ASM394620v1_genomic,99.48,1.64
GCF_003946215.1_ASM394621v1_genomic,99.48,1.05
GCF_003946405.1_ASM394640v1_genomic,98.69,0.52
GCF_003946465.1_ASM394646v1_genomic,99.21,0.52
GCF_003946505.1_ASM394650v1_genomic,99.48,0.59
GCF_003946515.1_ASM394651v1_genomic,99.48,1.31
GCF_003946555.1_ASM394655v1_genomic,99.48,0.0
GCF_003946575.1_ASM394657v1_genomic,99.48,0.0
GCF_003946605.1_ASM394660v1_genomic,99.48,1.05
GCF_003946625.1_ASM394662v1_genomic,99.48,1.64
GCF_003946645.1_ASM394664v1_genomic,98.25,0.63
GCF_003946655.1_ASM394665v1_genomic,99.3,0.0
GCF_003946675.1_ASM394667v1_genomic,97.99,0.52
GCF_003946695.1_ASM394669v1_genomic,99.35,1.57
GCF_003946725.1_ASM394672v1_genomic,99.21,0.0
GCF_004010095.1_ASM401009v1_genomic,96.34,1.57
GCF_005404815.1_ASM540481v1_genomic,99.48,1.05
GCF_005404945.1_ASM540494v1_genomic,99.38,1.23
GCF_005405005.1_ASM540500v1_genomic,99.38,1.23
GCF_005405065.1_ASM540506v1_genomic,99.07,1.23
GCF_005405085.1_ASM540508v1_genomic,85.19,0.82
GCF_005405105.1_ASM540510v1_genomic,99.02,2.62
GCF_005405125.1_ASM540512v1_genomic,99.02,2.62
GCF_005405145.1_ASM540514v1_genomic,66.85,0.0
GCF_005405165.1_ASM540516v1_genomic,99.46,1.9
GCF_005405385.1_ASM540538v1_genomic,99.07,1.34
GCF_016861655.1_ASM1686165v1_genomic,99.38,0.0
GCF_003946015.1_ASM394601v1_genomic,98.95,0.0
GCF_001703515.1_ASM170351v1_genomic,99.45,0.0
GCF_001434295.1_ASM143429v1_genomic,99.48,0.59
GCF_000379545.1_ASM37954v1_genomic,100.0,0.0
GCF_000740055.1_ASM74005v1_genomic,98.7,0.0
GCF_000965255.1_ASM96525v1_genomic,99.04,0.62
GCF_003946325.1_ASM394632v1_genomic,98.95,1.05
GCF_023061185.1_ASM2306118v1_genomic,99.14,0.86
GCF_000420365.1_ASM42036v1_genomic,99.39,0.0
GCF_001434665.1_ASM143466v1_genomic,99.48,1.64
GCF_001437425.1_ASM143742v1_genomic,99.39,0.12
GCF_001438705.1_ASM143870v1_genomic,97.12,0.0
GCF_009600985.1_ASM960098v1_genomic,99.48,4.19
GCF_012396435.1_ASM1239643v1_genomic,98.77,0.0
GCF_001436675.1_ASM143667v1_genomic,99.06,0.0
GCF_001435195.1_ASM143519v1_genomic,99.48,0.52
GCF_006740305.1_ASM674030v1_genomic,99.03,0.0
GCF_001434395.1_ASM143439v1_genomic,99.06,0.09
GCF_001434585.1_ASM143458v1_genomic,99.48,1.05
GCF_001434785.1_ASM143478v1_genomic,100.0,0.62
GCF_001434835.1_ASM143483v1_genomic,99.38,1.25
GCF_001434985.1_ASM143498v1_genomic,99.48,1.15
GCF_001435935.1_ASM143593v1_genomic,99.46,2.17
GCF_001436035.1_ASM143603v1_genomic,99.38,0.99
GCF_001437055.1_ASM143705v1_genomic,98.91,0.27
GCF_003946025.1_ASM394602v1_genomic,99.48,1.83
