mag_id	sample_description	fermented_food	specific_substrate	substrate_category	general_category	completeness	contamination	contigs	total_length	gc	n50	domain	phylum	class	order	family	genus	species	study_catalog	source	dataset_name	sample_id	split
G_011_1B_oryzifermentans_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	1.0	66	2923419	52.4	208737	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter oryzifermentans	Rappaport2024_sourdough	Rappaport2024_sourdough	G_011_1B_oryzifermentans_assembly		Rappaport2024_sourdough
G_275_1B_tropicalis_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.5	70	3823218	55.52	747097	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter tropicalis	Rappaport2024_sourdough	Rappaport2024_sourdough	G_275_1B_tropicalis_assembly		Rappaport2024_sourdough
G_338_1B_fabarum_extracted_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.5	28	2625792	58.42	227047	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter fabarum	Rappaport2024_sourdough	Rappaport2024_sourdough	G_338_1B_fabarum_extracted_assembly		Rappaport2024_sourdough
G_361_1B_senegalensis_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	69	3774405	56.05	570594	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter senegalensis	Rappaport2024_sourdough	Rappaport2024_sourdough	G_361_1B_senegalensis_assembly		Rappaport2024_sourdough
G_13_2A_senegalensis_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	35	4085983	55.33	317432	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter senegalensis	Rappaport2024_sourdough	Rappaport2024_sourdough	G_13_2A_senegalensis_assembly		Rappaport2024_sourdough
G_275_3_oxydans_assembly	sourdough	sourdough	wheat	grains	sourdough	99.75	0.0	85	3256344	60.56	130248	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter	Gluconobacter potus	Rappaport2024_sourdough	Rappaport2024_sourdough	G_275_3_oxydans_assembly		Rappaport2024_sourdough
G_364_1_oxydans_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	3.23	76	3867379	60.28	313274	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans	Rappaport2024_sourdough	Rappaport2024_sourdough	G_364_1_oxydans_assembly		Rappaport2024_sourdough
G_125_1B_pasteurianus_extracted_assembly	sourdough	sourdough	wheat	grains	sourdough	93.53	0.0	13	2250622	53.81	371209	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus	Rappaport2024_sourdough	Rappaport2024_sourdough	G_125_1B_pasteurianus_extracted_assembly		Rappaport2024_sourdough
G_154_1A_ghanensis_extracted_assembly	sourdough	sourdough	wheat	grains	sourdough	99.75	0.0	24	2517107	57.12	252051	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter ghanensis	Rappaport2024_sourdough	Rappaport2024_sourdough	G_154_1A_ghanensis_extracted_assembly		Rappaport2024_sourdough
G_199_1A_oryzifermentans_extracted_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.75	24	2868179	52.5	449330	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter oryzifermentans	Rappaport2024_sourdough	Rappaport2024_sourdough	G_199_1A_oryzifermentans_extracted_assembly		Rappaport2024_sourdough
G_24_1A_oryzifermentans_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.0	33	2960614	52.42	247881	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter oryzifermentans	Rappaport2024_sourdough	Rappaport2024_sourdough	G_24_1A_oryzifermentans_assembly		Rappaport2024_sourdough
G_272_1B_malorum_assembly	sourdough	sourdough	wheat	grains	sourdough	100.0	0.5	17	3305834	57.45	559983	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter malorum	Rappaport2024_sourdough	Rappaport2024_sourdough	G_272_1B_malorum_assembly		Rappaport2024_sourdough
