mag_id	completeness	contamination	contigs	total_length	gc	n50	sample_accession	run_accession	country	project_accession	study_accession	database_origin	reference	rep_95id	rep_99id	taxonomy	species	food_name	sample_name	origin	ingredient_group	main_ingredient	food_type	consistency	alcohol_level	acid_type	fermentation_temperature	aging_time
LeechJ_xxxx__AF38__bin.2	90.69664903	3.095238095	245	1564722	39.52	8805	SAMN39472457	SRR27593211	Nigeria	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	MortensenS_xxxx__WK023-1-L-48h-02G3_S117__bin.1	MotaGutierrezJ_2021__SRR11602140__bin.14	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc pseudomesenteroides	agadagidi	agadagidi	Plant	Fruit	plantain	beverage	liquid	low	lactic	mesophilic	1-7 days
LeechJ_xxxx__AF38__bin.5	89.09836066	1.839708561	210	1338094	53.14	9243	SAMN39472457	SRR27593211	Nigeria	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	FontanaF_2023__SRR20746839__bin.4	LeechJ_xxxx__AF66__bin.9	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	Limosilactobacillus fermentum	agadagidi	agadagidi	Plant	Fruit	plantain	beverage	liquid	low	lactic	mesophilic	1-7 days
LeechJ_xxxx__AF38__bin.7	89.46007696	4.707856858	386	1779064	37.32	5614	SAMN39472457	SRR27593211	Nigeria	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	MortensenS_xxxx__WK031-1-L-48h-03B2_S30__bin.1	LeechJ_xxxx__AF38__bin.7	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc suionicum	agadagidi	agadagidi	Plant	Fruit	plantain	beverage	liquid	low	lactic	mesophilic	1-7 days
LeechJ_xxxx__AF72__bin.1	72.10497835	1.199494949	392	1424517	36.15	4036	SAMN39472491	SRR27593169	Nigeria	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	MAG_501	LeechJ_xxxx__AF63__bin.11	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus lactis	agadagidi	agadagidi	Plant	Fruit	plantain	beverage	liquid	low	lactic	mesophilic	1-7 days
LeechJ_xxxx__AF72__bin.2	70.11297387	4.749657064	497	2489447	45.04	5934	SAMN39472491	SRR27593169	Nigeria	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	FalardeauJ_2023__SRR20811279__bin.3	LeechJ_xxxx__AF72__bin.2	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus	Lactiplantibacillus plantarum	agadagidi	agadagidi	Plant	Fruit	plantain	beverage	liquid	low	lactic	mesophilic	1-7 days
LeechJ_xxxx__AF72__bin.7	97.54098361	0	81	1712742	53.05	31260	SAMN39472491	SRR27593169	Nigeria	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	FontanaF_2023__SRR20746839__bin.4	FontanaF_2023__SRR20746839__bin.4	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	Limosilactobacillus fermentum	agadagidi	agadagidi	Plant	Fruit	plantain	beverage	liquid	low	lactic	mesophilic	1-7 days
LeechJ_xxxx__AF72__bin.3	95.59336824	1.413612565	125	1250033	45.58	15988	SAMN39472491	SRR27593169	Nigeria	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	LeechJ_xxxx__AF72__bin.3	LeechJ_xxxx__AF72__bin.3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Fructobacillus	NA	agadagidi	agadagidi	Plant	Fruit	plantain	beverage	liquid	low	lactic	mesophilic	1-7 days
GCF_000876205.1_ASM87620v1_genomic	99.46	0.82	105	1904253	39.8	37087	GCF_000876205.1	GCF_000876205.1	NA	Refseq	Refseq	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	DeFilippisF_xxxx__DF_7__bin.8	DeFilippisF_xxxx__DF_7__bin.8	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Paucilactobacillus	Paucilactobacillus wasatchensis	cheese cheddar	aged_cheddar_cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
LeechJ_2020__ERS3967719__bin.1	69.01776385	0	292	1945198	34.99	9188	ERS3967719	ERR4757834	Russia	PRJEB35321	ERP118359	NCBI	Leech, J., Cabrera-Rubio, R., Walsh, A.M., Macori, G., Walsh, C.J., Barton, W., Finnegan, L., Crispie, F., O’Sullivan, O., Claesson, M.J., et al. (2020). Fermented-Food Metagenomics Reveals Substrate-Associated Differences in Taxonomy and Health-Associated and Antibiotic Resistance Determinants. mSystems 5. 10.1128/mSystems.00522-20.	MAG_501	LeechJ_2020__ERS3967719__bin.1	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus lactis	agousha	agousha	Animal	Dairy	milk	beverage	liquid	none	lactic	mesophilic	1-2 days
LeechJ_2020__ERS3967719__bin.10	56.22357476	0.314465409	68	1090223	39.54	21320	ERS3967719	ERR4757834	Russia	PRJEB35321	ERP118359	NCBI	Leech, J., Cabrera-Rubio, R., Walsh, A.M., Macori, G., Walsh, C.J., Barton, W., Finnegan, L., Crispie, F., O’Sullivan, O., Claesson, M.J., et al. (2020). Fermented-Food Metagenomics Reveals Substrate-Associated Differences in Taxonomy and Health-Associated and Antibiotic Resistance Determinants. mSystems 5. 10.1128/mSystems.00522-20.	WalshL_xxxx__V9__bin.2	WalshL_xxxx__V9__bin.2	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus_A	Lactococcus A laudensis	agousha	agousha	Animal	Dairy	milk	beverage	liquid	none	lactic	mesophilic	1-2 days
